,Backers,Category,Country,Goal,Name,Pledged,State
0,3,Ceramics,US,3000.0,Spinning Pots: Transformations of Clay through Human Hands,280.0,canceled
1,0,Ceramics,US,12000.0,Fluid Stone Ceramics (Canceled),0.0,canceled
2,1,Ceramics,CA,10000.0,CCSA's Epic Fundraising (Canceled),18.916608,canceled
3,0,Ceramics,US,400.0,Project Renard (Canceled),0.0,canceled
4,14,Ceramics,US,6800.0,"The Curious Clay Society, A Mobile Education Studio",791.0,canceled
5,11,Ceramics,US,7300.0,Leaving Finn-gerprints Everywhere (Canceled),451.0,canceled
6,0,Ceramics,US,4200.0,The Flaming Fish Stick Project (Canceled),0.0,canceled
7,2,Ceramics,US,5000.0,Hand painted mugs that will make you smile. LOVEinamug,20.0,canceled
8,0,Ceramics,US,300000.0,!Paint Some Pots! (Canceled),0.0,canceled
9,0,Ceramics,US,1500.0,EricSSLeaPottery Pottery Ceramics (Canceled),0.0,canceled
10,0,Ceramics,US,3500.0,Light my heart and help me secure a kiln for my business.,0.0,canceled
11,0,Ceramics,US,17000.0,Flourishing Urn (Canceled),0.0,canceled
12,2,Ceramics,US,5000.0,Ian the gnome (Canceled),50.0,canceled
13,0,Ceramics,US,500.0,erwerewre (Canceled),0.0,canceled
14,14,Ceramics,US,30000.0,Michelle Dziadkowicz Ceramics Studio - A place to create,1775.0,canceled
15,0,Ceramics,US,10000.0,American Candle factory (Canceled),0.0,canceled
16,0,Ceramics,US,2000.0,Homemade Ceramics,0.0,failed
17,3,Ceramics,US,1900.0,Riverwood House summer with a kiln!,27.0,failed
18,1,Ceramics,US,250.0,GO WITH THE FLOW - Cancer Awareness,25.0,failed
19,0,Ceramics,US,6000.0,the potters wheel,0.0,failed
20,1,Ceramics,US,8000.0,Help start Jacksonville's FIRST Paint Your Own Pottery Store,100.0,failed
21,2,Ceramics,GB,200.0,Degree Show funding,15.38085087,failed
22,0,Ceramics,NL,5100.0,sub,0.0,failed
23,4,Ceramics,US,9000.0,Kestril Clay needs a Kiln,125.0,failed
24,1,Ceramics,US,800.0,Joel's Home Ceramic Studio,25.0,failed
25,2,Ceramics,US,2200.0,Artists Dream Ceramics Studio,60.0,failed
26,0,Ceramics,US,2000.0,Recycled Vintage Dish Bird Feeder/Windchimes,0.0,failed
27,3,Ceramics,US,1800.0,Double Clay Ceramic Working Flute from The Dark Crystal,316.0,failed
28,7,Ceramics,US,7000.0,come clay with me,386.0,failed
29,0,Ceramics,US,50000.0,Travis Design Studio Mugs Collection,0.0,failed
30,0,Ceramics,US,5000.0,Ceramic Sculpture Collection Development Project,0.0,failed
31,0,Ceramics,US,5000.0,Coastland ceramics is combining art and functional pieces,0.0,failed
32,12,Ceramics,US,3500.0,Xroads Clayworks Artist Studio,696.0,failed
33,0,Ceramics,US,700.0,Bryna Brashier's Year in Ceramics - PCA Membership fund,0.0,failed
34,2,Ceramics,CA,73000.0,Project (Canceled),123.81046503,canceled
35,0,Ceramics,US,900.0,Drunk Craftings (Canceled),0.0,canceled
36,0,Ceramics,BE,85.0,One Piece fan.. full collection!,0.0,failed
37,2,Ceramics,GB,2973.0,The Magic of Polymer Clay,92.10878875,failed
38,1,Ceramics,US,600.0,High School Art Mural,25.0,failed
39,4,Ceramics,US,2200.0,Studio 5270 Pottery,109.0,failed
40,12,Ceramics,US,25000.0,Replace our Reduction Kiln!,2642.0,failed
41,10,Ceramics,US,3500.0,Adventures in Appomattox,644.0,failed
42,45,Ceramics,US,20000.0,Centered: Mud and Movement Arts at Taos Clay,4239.13,failed
43,8,Ceramics,US,3000.0,Launching BK Clay Cafe In 60 Days + Coffee House Plans!,482.0,failed
44,8,Ceramics,US,5000.0,Jeremiah 18 pottery studio training center at ACI,510.0,failed
45,42,Ceramics,US,14000.0,"Help The Village Potters build a ""Kazegama"" Kiln",2580.0,failed
46,22,Ceramics,US,4000.0,The Daydreamers - ceramic cups and tumblers,1324.0,failed
47,0,Ceramics,GB,15000.0,Love For Blue Pottery,0.0,failed
48,3,Ceramics,US,1700.0,Ceramics Studio,156.0,failed
49,31,Ceramics,US,9000.0,Wood fired pottery made by ceramic Artist in Residence,2015.0,failed
50,0,Ceramics,US,3500.0,"Artistic Handmade Ornaments, Windchimes and Figurines",0.0,failed
51,0,Ceramics,GB,180.0,Personalised cup of coffee,0.0,failed
52,3,Ceramics,US,15000.0,Zombie Gnomes and Other Unique Figures,80.0,failed
53,10,Ceramics,US,4500.0,Mr.Quin's Wood Fired Pottery Kiln,365.0,failed
54,0,Ceramics,US,1000.0,Hour of the Wolf Craft Fair Booth,0.0,failed
55,1,Ceramics,US,1000.0,Single Dad Starting Ceramics Business,25.0,failed
56,23,Ceramics,US,8000.0,Pottery and art studio takeover and expansion,1065.0,failed
57,1,Ceramics,US,5500.0,Falcon Fire Ceramics Studio,1.0,failed
58,1,Ceramics,US,5000.0,"Fix pottery wheel, get another wheel,teach children ceramics",25.0,failed
59,5,Ceramics,US,3000.0,Gettin' Muddy Pottery Teaching and Expansion Project,44.0,failed
60,0,Ceramics,US,1000.0,Hand Painted Coffee Mugs and Pet Dishes.,0.0,failed
